campaign_name,brand,platform,funnel_stage,spend_rm,revenue_rm,impressions,clicks,add_to_cart,orders,streamer_name,slot_time
20260128 - Reach - Stelatopia - Yap (Pandan Social),Mustela,TikTok,Awareness,37.99,0.0,40000.0,15.0,,0.0,,
20260212 - Reach - Atiqahdoesthings - vid 1,Mustela,TikTok,Awareness,50.0,0.0,47379.0,0.0,,0.0,,
20260214 - Reach - Stelatopia - Dr Janice,Mustela,TikTok,Awareness,120.0,0.0,106666.0,0.0,,0.0,,
20260214 - Reach - Stelatopia - Dr Janice (Apr),Mustela,TikTok,Awareness,49.97,0.0,48812.0,0.0,,0.0,,
20260427 - Reach - Sensitive skin day bag essentials - Tica,Mustela,TikTok,Awareness,100.0,0.0,96808.0,0.0,,0.0,,
20260131 - Reach - PDRN One Day Kit - Laila Khan,Wellage,TikTok,Awareness,80.0,0.0,75396.0,102.0,,0.0,,
20260214 - Reach - PDRN One Day Kit - Juhanif,Wellage,TikTok,Awareness,35.82,0.0,29631.0,8.0,,0.0,,
20260214 - Reach - PDRN Ampoule - Juhanif,Wellage,TikTok,Awareness,84.18,0.0,80033.0,33.0,,0.0,,
20260328 - Reach - Hyalubomb - Izzyisnoteasy,Wellage,TikTok,Awareness,50.0,0.0,43036.0,0.0,,0.0,,
20260328 - Reach - PDRN Ampoule - Laila Khan,Wellage,TikTok,Awareness,50.0,0.0,41574.0,7.0,,0.0,,
20260131 - Reach - Noni Ampoule - NL Alchemist,Celimax,TikTok,Awareness,32.05,0.0,30687.0,16.0,,0.0,,
20260212 - Reach - Kak Laila - Vita-A Retinal - 99 Problems,Celimax,TikTok,Awareness,50.0,0.0,48220.0,68.0,,0.0,,
20260214 - Reach - Noni Ampoule & Heartleaf Pad - Iffah Aina,Celimax,TikTok,Awareness,50.0,0.0,49693.0,0.0,,0.0,,
20260402 - Reach - Vita-A Retinal Booster - Laila Khan,Celimax,TikTok,Awareness,49.76,0.0,45101.0,15.0,,0.0,,
20260530 - Reach - Vita-A Booster original - Laila Khan,Celimax,TikTok,Awareness,50.0,0.0,47835.0,26.0,,0.0,,
20260527 - Reach - Shampoo for itchy scalp - Tica,Phyto,TikTok,Awareness,150.0,0.0,132316.0,0.0,,0.0,,
20260527 - Reach - 7 Nourishing Day Cream - Tica,Phyto,TikTok,Awareness,150.0,0.0,138259.0,0.0,,0.0,,
20260527 - Reach - Phyto Color - Swifty Vid 1,Phyto,TikTok,Awareness,149.98,0.0,135175.0,0.0,,0.0,,
20260131 - Reach - Cleansing Foam - Syazwanins,Fation,TikTok,Awareness,35.3,0.0,45002.0,17.0,,0.0,,
20260131 - Reach - Clear Toner - Syazwanins,Fation,TikTok,Awareness,33.31,0.0,40390.0,23.0,,0.0,,
20260131 - Reach - Clear Toner (2) - Syazwanins,Fation,TikTok,Awareness,31.39,0.0,39901.0,10.0,,0.0,,
20260214 - Reach - Trouble Cream - Dayah Zarin,Fation,TikTok,Awareness,50.0,0.0,53922.0,27.0,,0.0,,
20260217 - Reach - Tiktok One - scr.azra,Fation,TikTok,Awareness,29.75,0.0,37066.0,0.0,,0.0,,
20260217 - Reach - Tiktok One - babynaa_e,Fation,TikTok,Awareness,30.25,0.0,38109.0,0.0,,0.0,,
"20260224 - Reach - Toner, Toning Ampoule Cream - IzzyIsNotEasy",Fation,TikTok,Awareness,50.0,0.0,93710.0,0.0,,0.0,,
20260318 - Reach - carlasthtc - Trouble Toning Repair Cream,Fation,TikTok,Awareness,50.0,0.0,45255.0,0.0,,0.0,,
20260318 - Reach - Trouble Toning - TT1 - Izzy Adlina,Fation,TikTok,Awareness,32.89,0.0,31366.0,0.0,,0.0,,
20260318 - Reach - Trouble Toning - TT1 - Rahmat VB,Fation,TikTok,Awareness,36.8,0.0,35176.0,0.0,,0.0,,
20260318 - Reach - Trouble Toning - TT1 - Jessiereena,Fation,TikTok,Awareness,30.31,0.0,27699.0,0.0,,0.0,,
20260331 - Reach - Trouble Serum & Cream - queenlikhonnn_24,Fation,TikTok,Awareness,17.67,0.0,17194.0,0.0,,0.0,,
20260401 - Reach - Deep Pore Cleanser - roxieverse,Fation,TikTok,Awareness,39.73,0.0,34720.0,30.0,,0.0,,
20260401 - Reach - Deep Pore Cleanser - fation.official,Fation,TikTok,Awareness,1.5,0.0,1294.0,2.0,,0.0,,
20260401 - Reach - Deep Pore Cleanser - ash.catania.glow,Fation,TikTok,Awareness,36.71,0.0,32137.0,26.0,,0.0,,
Mustela MY_Sales Push JAN,Mustela,Meta,Conversion,0.0,0.0,0.0,0.0,0.0,0.0,,
Mustela MY_Sales Push FEB,Mustela,Meta,Conversion,788.05,4982.8,120429.0,1701.0,284.0,47.0,,
Mustela MY_Sales Push MAR,Mustela,Meta,Conversion,757.74,4238.75,90998.0,1755.0,194.0,32.0,,
Mustela MY_Sales Push APR,Mustela,Meta,Conversion,994.34,12163.3,120649.0,1674.0,663.0,96.0,,
Mustela MY_Sales Push MAY,Mustela,Meta,Conversion,946.51,10619.1,136620.0,1372.0,459.0,101.0,,
Mustela MY_Sales Push JUNE,Mustela,Meta,Conversion,0.0,0.0,0.0,0.0,0.0,0.0,,
Mustela_Always-On - Search Branded JAN,Mustela,Google Ads,Consideration,92.01,1088.54,978.0,91.0,25.0,9.0,,
Mustela_Always-On - Sales PMax All Products JAN,Mustela,Google Ads,Conversion,742.43,7437.38,108961.0,1148.0,177.0,75.0,,
Mustela_Always-On - Search Branded FEB,Mustela,Google Ads,Consideration,54.16,1081.07,759.0,65.0,13.0,8.0,,
Mustela_Always-On - Sales PMax All Products FEB,Mustela,Google Ads,Conversion,912.28,7345.11,123823.0,1325.0,179.0,72.0,,
Mustela_Always-On - Search Branded MAR,Mustela,Google Ads,Consideration,184.81,2211.09,2131.0,163.0,46.0,16.0,,
Mustela_Always-On - Sales PMax All Products MAR,Mustela,Google Ads,Conversion,792.62,4328.31,119127.0,1050.0,150.0,50.0,,
Mustela_Always-On - Search Branded APR,Mustela,Google Ads,Consideration,127.55,966.98,1681.0,133.0,32.0,10.0,,
Mustela_Always-On - Sales PMax All Products APR,Mustela,Google Ads,Conversion,912.22,6660.28,143839.0,1193.0,164.0,72.0,,
Mustela_Always-On - Search Branded MAY,Mustela,Google Ads,Consideration,315.16,688.18,2284.0,193.0,29.0,9.0,,
Mustela_Always-On - Sales PMax All Products MAY,Mustela,Google Ads,Conversion,1114.87,1865.0,164096.0,1061.0,71.0,21.0,,
20260101 until 15th - All products,Celimax,TikTok Shop GMV Max,Conversion,462.5,4673.63,,,,45.0,,
20260123 until 3rd Feb - All products,Celimax,TikTok Shop GMV Max,Conversion,525.85,9758.78,,,,106.0,,
